Neighborhood,Number
Squirrel Hill South,8
Beechview,5
South Side Slopes,5
Allegheny Center,4
Highland Park,4
Sheraden,4
Beltzhoover,4
Crawford-Roberts,3
Hazelwood,3
East Liberty,3
Upper Lawrenceville,3
South Oakland,3
Elliott,3
Carrick,3
Mount Washington,3
Central Northside,2
South Side Flats,2
Brighton Heights,2
Brookline,2
Lincoln-Lemington-Belmar,2
Troy Hill,2
Crafton Heights,2
Garfield,2
Greenfield,2
Morningside,2
Lincoln Place,2
Manchester,2
Marshall-Shadeland,2
Bloomfield,2
neighborhood,1
Bedford Dwellings,1
Lower Lawrenceville,1
Banksville,1
Homewood North,1
Bon Air,1
Central Oakland,1
Spring Garden,1
Windgap,1
Westwood,1
Perry South,1
Homewood West,1
Strip District,1
Stanton Heights,1
West Oakland,1
East Carnegie,1
Duquesne Heights,1
Esplen,1
Fairywood,1
Fineview,1
Regent Square,1
Allentown,1
Hays,1
Terrace Village,1
Larimer,1
Central Lawrenceville,1
Shadyside,1
Oakwood,1
Perry North,1
Upper Hill,1
New Homestead,1
Spring Hill-City View,1
Swisshelm Park,1
Bluff,1
Middle Hill,1
West End,1
Polish Hill,1
Point Breeze North,1
Squirrel Hill North,1
East Allegheny,1
Brighton Heights,7
South Side Slopes,6
Brookline,6
Squirrel Hill South,5
Carrick,5
Lower Lawrenceville,4
Hazelwood,4
Mount Washington,4
Highland Park,4
Troy Hill,3
Beechview,3
Morningside,3
Beltzhoover,3
Sheraden,3
Shadyside,3
South Side Flats,2
Banksville,2
Lincoln-Lemington-Belmar,2
South Oakland,2
Crafton Heights,2
Regent Square,2
Perry North,2
Elliott,2
Central Lawrenceville,2
Bedford Dwellings,2
Greenfield,2
Manchester,2
Allegheny Center,2
Spring Hill-City View,2
Westwood,2
neighborhood,1
Allentown,1
Windgap,1
Arlington,1
East Hills,1
East Liberty,1
Upper Lawrenceville,1
Fineview,1
Garfield,1
Perry South,1
Terrace Village,1
Larimer,1
Central Oakland,1
Lincoln Place,1
Spring Garden,1
Oakwood,1
Stanton Heights,1
Marshall-Shadeland,1
West End,1
Polish Hill,1
Squirrel Hill North,1
Homewood South,1
East Liberty,12
Central Business District,10
Beechview,8
South Side Slopes,7
Point Breeze,7
South Side Flats,6
Hazelwood,6
Squirrel Hill South,6
Mount Washington,6
Sheraden,6
South Oakland,5
Troy Hill,5
Central Oakland,4
Brighton Heights,4
Elliott,4
Marshall-Shadeland,4
Crawford-Roberts,3
North Shore,3
Central Northside,3
Lower Lawrenceville,3
Brookline,3
Lincoln-Lemington-Belmar,3
Westwood,3
Upper Lawrenceville,3
Garfield,3
Greenfield,3
Larimer,3
Bloomfield,3
Spring Hill-City View,3
Carrick,3
Manchester,3
Beltzhoover,3
Point Breeze North,3
Swisshelm Park,3
Allegheny Center,2
Banksville,2
Homewood North,2
Spring Garden,2
Perry South,2
Strip District,2
Crafton Heights,2
Allentown,2
Duquesne Heights,2
Fineview,2
Perry North,2
Highland Park,2
Terrace Village,2
Lincoln Place,2
Polish Hill,2
West End,2
neighborhood,1
Bedford Dwellings,1
Bon Air,1
Windgap,1
Homewood West,1
Arlington,1
Stanton Heights,1
East Carnegie,1
East Hills,1
Esplen,1
Fairywood,1
North Oakland,1
Hays,1
Homewood South,1
Morningside,1
Central Lawrenceville,1
Oakwood,1
Regent Square,1
Upper Hill,1
New Homestead,1
West Oakland,1
Bluff,1
Middle Hill,1
Squirrel Hill North,1
,3
nhood,1
Beechview,1
Hazelwood,1
Perry South,1
Brookline,1
Perry North,1
South Oakland,1
Squirrel Hill South,1
