Neighborhood,Single Number,Combined Total
Squirrel Hill South,8,20.0
Beechview,5,17.0
South Side Slopes,5,18.0
Allegheny Center,4,8.0
Highland Park,4,10.0
Sheraden,4,13.0
Beltzhoover,4,10.0
Crawford-Roberts,3,6.0
Hazelwood,3,14.0
East Liberty,3,16.0
Upper Lawrenceville,3,7.0
South Oakland,3,11.0
Elliott,3,9.0
Carrick,3,11.0
Mount Washington,3,13.0
Central Northside,2,5.0
South Side Flats,2,10.0
Brighton Heights,2,13.0
Brookline,2,12.0
Lincoln-Lemington-Belmar,2,7.0
Troy Hill,2,10.0
Crafton Heights,2,6.0
Garfield,2,6.0
Greenfield,2,7.0
Morningside,2,6.0
Lincoln Place,2,5.0
Manchester,2,7.0
Marshall-Shadeland,2,7.0
Bloomfield,2,5.0
neighborhood,1,3.0
Bedford Dwellings,1,4.0
Lower Lawrenceville,1,8.0
Banksville,1,5.0
Homewood North,1,3.0
Bon Air,1,2.0
Central Oakland,1,6.0
Spring Garden,1,4.0
Windgap,1,3.0
Westwood,1,6.0
Perry South,1,5.0
Homewood West,1,2.0
Strip District,1,3.0
Stanton Heights,1,3.0
West Oakland,1,2.0
East Carnegie,1,2.0
Duquesne Heights,1,3.0
Esplen,1,2.0
Fairywood,1,2.0
Fineview,1,4.0
Regent Square,1,4.0
Allentown,1,4.0
Hays,1,2.0
Terrace Village,1,4.0
Larimer,1,5.0
Central Lawrenceville,1,4.0
Shadyside,1,4.0
Oakwood,1,3.0
Perry North,1,6.0
Upper Hill,1,2.0
New Homestead,1,2.0
Spring Hill-City View,1,6.0
Swisshelm Park,1,4.0
Bluff,1,2.0
Middle Hill,1,2.0
West End,1,4.0
Polish Hill,1,4.0
Point Breeze North,1,4.0
Squirrel Hill North,1,3.0
East Allegheny,1,1.0
Brighton Heights,7,13.0
South Side Slopes,6,18.0
Brookline,6,12.0
Squirrel Hill South,5,20.0
Carrick,5,11.0
Lower Lawrenceville,4,8.0
Hazelwood,4,14.0
Mount Washington,4,13.0
Highland Park,4,10.0
Troy Hill,3,10.0
Beechview,3,17.0
Morningside,3,6.0
Beltzhoover,3,10.0
Sheraden,3,13.0
Shadyside,3,4.0
South Side Flats,2,10.0
Banksville,2,5.0
Lincoln-Lemington-Belmar,2,7.0
South Oakland,2,11.0
Crafton Heights,2,6.0
Regent Square,2,4.0
Perry North,2,6.0
Elliott,2,9.0
Central Lawrenceville,2,4.0
Bedford Dwellings,2,4.0
Greenfield,2,7.0
Manchester,2,7.0
Allegheny Center,2,8.0
Spring Hill-City View,2,6.0
Westwood,2,6.0
neighborhood,1,3.0
Allentown,1,4.0
Windgap,1,3.0
Arlington,1,2.0
East Hills,1,2.0
East Liberty,1,16.0
Upper Lawrenceville,1,7.0
Fineview,1,4.0
Garfield,1,6.0
Perry South,1,5.0
Terrace Village,1,4.0
Larimer,1,5.0
Central Oakland,1,6.0
Lincoln Place,1,5.0
Spring Garden,1,4.0
Oakwood,1,3.0
Stanton Heights,1,3.0
Marshall-Shadeland,1,7.0
West End,1,4.0
Polish Hill,1,4.0
Squirrel Hill North,1,3.0
Homewood South,1,2.0
East Liberty,12,16.0
Central Business District,10,10.0
Beechview,8,17.0
South Side Slopes,7,18.0
Point Breeze,7,7.0
South Side Flats,6,10.0
Hazelwood,6,14.0
Squirrel Hill South,6,20.0
Mount Washington,6,13.0
Sheraden,6,13.0
South Oakland,5,11.0
Troy Hill,5,10.0
Central Oakland,4,6.0
Brighton Heights,4,13.0
Elliott,4,9.0
Marshall-Shadeland,4,7.0
Crawford-Roberts,3,6.0
North Shore,3,3.0
Central Northside,3,5.0
Lower Lawrenceville,3,8.0
Brookline,3,12.0
Lincoln-Lemington-Belmar,3,7.0
Westwood,3,6.0
Upper Lawrenceville,3,7.0
Garfield,3,6.0
Greenfield,3,7.0
Larimer,3,5.0
Bloomfield,3,5.0
Spring Hill-City View,3,6.0
Carrick,3,11.0
Manchester,3,7.0
Beltzhoover,3,10.0
Point Breeze North,3,4.0
Swisshelm Park,3,4.0
Allegheny Center,2,8.0
Banksville,2,5.0
Homewood North,2,3.0
Spring Garden,2,4.0
Perry South,2,5.0
Strip District,2,3.0
Crafton Heights,2,6.0
Allentown,2,4.0
Duquesne Heights,2,3.0
Fineview,2,4.0
Perry North,2,6.0
Highland Park,2,10.0
Terrace Village,2,4.0
Lincoln Place,2,5.0
Polish Hill,2,4.0
West End,2,4.0
neighborhood,1,3.0
Bedford Dwellings,1,4.0
Bon Air,1,2.0
Windgap,1,3.0
Homewood West,1,2.0
Arlington,1,2.0
Stanton Heights,1,3.0
East Carnegie,1,2.0
East Hills,1,2.0
Esplen,1,2.0
Fairywood,1,2.0
North Oakland,1,1.0
Hays,1,2.0
Homewood South,1,2.0
Morningside,1,6.0
Central Lawrenceville,1,4.0
Oakwood,1,3.0
Regent Square,1,4.0
Upper Hill,1,2.0
New Homestead,1,2.0
West Oakland,1,2.0
Bluff,1,2.0
Middle Hill,1,2.0
Squirrel Hill North,1,3.0
,3,
nhood,1,1.0
Beechview,1,17.0
Hazelwood,1,14.0
Perry South,1,5.0
Brookline,1,12.0
Perry North,1,6.0
South Oakland,1,11.0
Squirrel Hill South,1,20.0
